month,temp,CO2
1958/03,-0.002,315.71
1958/04,0.038,317.45
1958/05,0.034,317.5
1958/06,-0.015,317.1
1958/07,0.041,315.86
1958/08,0.007,314.93
1958/09,-0.053,313.2
1958/10,0.015,312.66
1958/11,0.008,313.33
1958/12,0.03,314.67
1959/01,0.089,315.62
1959/02,0.031,316.38
1959/03,0.08,316.71
1959/04,0.048,317.72
1959/05,-0.013,318.29
1959/06,0.065,318.15
1959/07,0.03,316.54
1959/08,0.047,314.8
1959/09,0.04,313.84
1959/10,-0.033,313.26
1959/11,-0.109,314.8
1959/12,-0.071,315.58
1960/01,-0.031,316.43
1960/02,0.102,316.97
1960/03,-0.316,317.58
1960/04,-0.178,319.02
1960/05,-0.156,320.03
1960/06,-0.029,319.59
1960/07,-0.028,318.18
1960/08,0.009,315.91
1960/09,0.063,314.16
1960/10,-0.025,313.83
1960/11,-0.149,315
1960/12,0.146,316.19
1961/01,0.05,316.93
1961/02,0.182,317.7
1961/03,0.096,318.54
1961/04,0.098,319.48
1961/05,0.087,320.58
1961/06,0.11,319.77
1961/07,0.019,318.57
1961/08,0.034,316.79
1961/09,-0.027,314.8
1961/10,-0.031,315.38
1961/11,-0.018,316.1
1961/12,-0.114,317.01
1962/01,0.055,317.94
1962/02,0.137,318.56
1962/03,0.029,319.68
1962/04,0.026,320.63
1962/05,-0.045,321.01
1962/06,-0.053,320.55
1962/07,0.017,319.58
1962/08,-0.003,317.4
1962/09,-0.014,316.26
1962/10,0.045,315.42
1962/11,0.013,316.69
1962/12,-0.011,317.69
1963/01,-0.045,318.74
1963/02,0.15,319.08
1963/03,-0.146,319.86
1963/04,-0.067,321.39
1963/05,-0.021,322.25
1963/06,-0.034,321.47
1963/07,0.11,319.74
1963/08,0.128,317.77
1963/09,0.129,316.21
1963/10,0.225,315.99
1963/11,0.161,317.12
1963/12,-0.007,318.31
1964/01,-0.053,319.57
1964/02,-0.127,320.07
1964/03,-0.279,320.73
1964/04,-0.247,321.77
1964/05,-0.176,322.25
1964/06,-0.159,321.89
1964/07,-0.172,320.44
1964/08,-0.256,318.7
1964/09,-0.283,316.7
1964/10,-0.267,316.79
1964/11,-0.297,317.79
1964/12,-0.353,318.71
1965/01,-0.105,319.44
1965/02,-0.247,320.44
1965/03,-0.218,320.89
1965/04,-0.255,322.13
1965/05,-0.162,322.16
1965/06,-0.11,321.87
1965/07,-0.179,321.39
1965/08,-0.107,318.81
1965/09,-0.09,317.81
1965/10,-0.025,317.3
1965/11,-0.135,318.87
1965/12,-0.065,319.42
1966/01,-0.095,320.62
1966/02,-0.094,321.59
1966/03,-0.066,322.39
1966/04,-0.107,323.87
1966/05,-0.14,324.01
1966/06,0.036,323.75
1966/07,0.031,322.39
1966/08,-0.019,320.37
1966/09,-0.039,318.64
1966/10,-0.106,318.1
1966/11,-0.095,319.79
1966/12,-0.137,321.08
1967/01,-0.167,322.07
1967/02,-0.235,322.5
1967/03,-0.048,323.04
1967/04,-0.063,324.42
1967/05,0.077,325
1967/06,-0.083,324.09
1967/07,-0.064,322.55
1967/08,-0.063,320.92
1967/09,-0.096,319.31
1967/10,0.06,319.31
1967/11,-0.061,320.72
1967/12,-0.148,321.96
1968/01,-0.24,322.57
1968/02,-0.213,323.15
1968/03,0.039,323.89
1968/04,-0.169,325.02
1968/05,-0.221,325.57
1968/06,-0.107,325.36
1968/07,-0.102,324.14
1968/08,-0.057,322.03
1968/09,-0.086,320.41
1968/10,-0.02,320.25
1968/11,-0.071,321.31
1968/12,-0.109,322.84
1969/01,-0.168,324
1969/02,-0.167,324.42
1969/03,-0.005,325.64
1969/04,0.105,326.66
1969/05,0.132,327.34
1969/06,0.024,326.76
1969/07,0.038,325.88
1969/08,0.053,323.67
1969/09,0.017,322.38
1969/10,0.027,321.78
1969/11,0.132,322.85
1969/12,0.196,324.11
1970/01,0.073,325.03
1970/02,0.145,325.99
1970/03,-0.068,326.87
1970/04,0.056,328.13
1970/05,-0.035,328.07
1970/06,-0.014,327.66
1970/07,-0.049,326.35
1970/08,-0.092,324.69
1970/09,-0.04,323.1
1970/10,-0.075,323.16
1970/11,-0.049,323.98
1970/12,-0.164,325.13
1971/01,-0.098,326.17
1971/02,-0.291,326.68
1971/03,-0.283,327.18
1971/04,-0.238,327.78
1971/05,-0.214,328.92
1971/06,-0.234,328.57
1971/07,-0.131,327.34
1971/08,-0.169,325.46
