page1,page2,page3,page4,page5,page6,page7,page8
frontpage,frontpage,,,,,,
news,,,,,,,
tech,news,news,local,news,news,news,tech
opinion,,,,,,,
frontpage,,,,,,,
on_air,,,,,,,
frontpage,frontpage,,,,,,
on_air,,,,,,,
on_air,mich,mich,mich,on_air,on_air,weather,weather
on_air,health,local,local,local,living,tech,living
frontpage,frontpage,frontpage,business,frontpage,frontpage,frontpage,
sports,sports,,,,,,
frontpage,frontpage,,,,,,
weather,weather,weather,weather,weather,weather,,
on_air,,,,,,,
news,,,,,,,
health,sports,,,,,,
tech,,,,,,,
health,,,,,,,
tech,,,,,,,
sports,,,,,,,
opinion,,,,,,,
summary,summary,summary,,,,,
on_air,health,health,health,health,health,health,
news,on_air,,,,,,
sports,,,,,,,
frontpage,,,,,,,
tech,,,,,,,
on_air,mich,mich,mich,on_air,mich,,
on_air,on_air,on_air,,,,,
bbs,,,,,,,
news,local,local,local,tech,,,
on_air,,,,,,,
on_air,,,,,,,
on_air,,,,,,,
weather,weather,frontpage,mich,weather,weather,weather,weather
on_air,,,,,,,
frontpage,frontpage,,,,,,
summary,mich,summary,mich,mich,summary,mich,summary
weather,weather,weather,,,,,
frontpage,,,,,,,
weather,weather,,,,,,
summary,,,,,,,
summary,summary,,,,,,
summary,weather,summary,summary,summary,bbs,bbs,bbs
on_air,on_air,on_air,on_air,,,,
opinion,,,,,,,
on_air,,,,,,,
summary,summary,,,,,,
sports,,,,,,,
weather,weather,,,,,,
summary,summary,summary,,,,,
frontpage,frontpage,weather,,,,,
summary,bbs,,,,,,
summary,summary,summary,summary,summary,summary,summary,health
sports,,,,,,,
frontpage,tech,tech,frontpage,,,,
weather,weather,weather,mich,local,weather,weather,weather
frontpage,frontpage,business,frontpage,sports,frontpage,frontpage,frontpage
on_air,health,health,health,health,mich,health,
news,,,,,,,
summary,bbs,summary,,,,,
frontpage,frontpage,frontpage,,,,,
news,sports,tech,local,sports,sports,,
frontpage,,,,,,,
local,,,,,,,
frontpage,tech,tech,,,,,
frontpage,frontpage,sports,frontpage,,,,
bbs,bbs,bbs,bbs,bbs,bbs,,
frontpage,frontpage,,,,,,
news,,,,,,,
business,business,bbs,,,,,
on_air,weather,,,,,,
health,sports,health,health,health,health,mich,local
frontpage,news,frontpage,bbs,bbs,bbs,bbs,bbs
frontpage,on_air,on_air,,,,,
on_air,,,,,,,
frontpage,local,mich,frontpage,living,living,frontpage,news
weather,weather,weather,weather,,,,
frontpage,,,,,,,
frontpage,frontpage,sports,news,news,local,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
frontpage,,,,,,,
weather,weather,weather,weather,weather,weather,weather,
frontpage,frontpage,local,living,living,living,living,living
on_air,travel,on_air,,,,,
on_air,,,,,,,
on_air,,,,,,,
weather,weather,weather,weather,,,,
on_air,,,,,,,
on_air,,,,,,,
tech,tech,,,,,,
weather,weather,,,,,,
tech,tech,tech,local,,,,
local,,,,,,,
sports,,,,,,,
summary,summary,bbs,,,,,
summary,summary,summary,summary,,,,
weather,weather,weather,weather,weather,weather,weather,weather
local,local,on_air,,,,,
tech,,,,,,,
summary,,,,,,,
health,mich,health,mich,mich,health,sports,on_air
frontpage,opinion,opinion,opinion,,,,
bbs,bbs,bbs,bbs,,,,
bbs,bbs,bbs,,,,,
local,local,living,living,living,living,news,news
frontpage,frontpage,,,,,,
frontpage,frontpage,,,,,,
local,local,health,health,tech,,,
sports,sports,sports,,,,,
health,health,local,local,,,,
on_air,,,,,,,
health,health,health,health,health,on_air,health,on_air
weather,weather,weather,weather,weather,summary,summary,summary
on_air,,,,,,,
frontpage,frontpage,frontpage,sports,frontpage,living,living,bbs
on_air,on_air,,,,,,
on_air,,,,,,,
tech,,,,,,,
summary,summary,summary,summary,summary,summary,summary,
frontpage,,,,,,,
sports,,,,,,,
tech,,,,,,,
weather,local,local,,,,,
tech,tech,,,,,,
business,,,,,,,
bbs,,,,,,,
summary,health,,,,,,
health,sports,sports,,,,,
weather,,,,,,,
on_air,travel,on_air,,,,,
bbs,,,,,,,
health,health,health,health,health,,,
weather,,,,,,,
summary,summary,summary,bbs,bbs,bbs,bbs,bbs
on_air,health,health,news,,,,
health,health,tech,business,,,,
opinion,opinion,opinion,opinion,opinion,opinion,opinion,opinion
local,,,,,,,
frontpage,frontpage,news,,,,,
frontpage,frontpage,frontpage,,,,,
summary,,,,,,,
sports,sports,,,,,,
frontpage,tech,tech,tech,tech,,,
summary,,,,,,,
sports,sports,frontpage,,,,,
business,frontpage,frontpage,frontpage,news,frontpage,frontpage,opinion
weather,weather,weather,weather,weather,weather,weather,weather
opinion,,,,,,,
health,health,health,health,health,opinion,opinion,opinion
living,,,,,,,
sports,health,tech,sports,local,health,sports,
frontpage,news,news,news,news,news,on_air,on_air
health,,,,,,,
bbs,tech,local,,,,,
on_air,,,,,,,
on_air,news,news,news,travel,news,news,frontpage
health,tech,tech,,,,,
business,,,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,news,frontpage
on_air,weather,weather,weather,weather,sports,,
frontpage,bbs,frontpage,bbs,frontpage,frontpage,frontpage,frontpage
on_air,,,,,,,
health,mich,mich,health,local,local,local,local
frontpage,bbs,bbs,bbs,bbs,bbs,bbs,bbs
frontpage,frontpage,bbs,frontpage,bbs,bbs,bbs,
local,local,local,local,local,,,
on_air,local,,,,,,
on_air,,,,,,,
tech,tech,,,,,,
sports,,,,,,,
health,health,opinion,opinion,opinion,,,
weather,weather,weather,weather,weather,weather,weather,weather
health,health,on_air,on_air,,,,
bbs,bbs,frontpage,,,,,
health,local,,,,,,
frontpage,frontpage,business,business,business,frontpage,news,frontpage
health,health,summary,summary,summary,summary,weather,weather
local,health,,,,,,
on_air,on_air,on_air,travel,opinion,on_air,on_air,on_air
frontpage,,,,,,,
on_air,,,,,,,
sports,,,,,,,
frontpage,living,frontpage,,,,,
on_air,news,news,,,,,
tech,,,,,,,
tech,,,,,,,
frontpage,frontpage,,,,,,
frontpage,tech,tech,frontpage,frontpage,frontpage,frontpage,frontpage
tech,,,,,,,
on_air,mich,mich,mich,on_air,living,living,
health,health,,,,,,
local,,,,,,,
